Date,Open,High,Low,Close,Volume
11/1/2018,99.89,100,97.15,98.21,"170,000"
11/2/2018,97.25,100,97.25,98.99,"307,000"
11/5/2018,96.56,98.7,96.5,97.42,"31,000"
11/6/2018,98,99,95.1,96.46,"164,000"
11/7/2018,97.45,97.96,92.6,96.2,"304,500"
11/8/2018,96.75,96.75,92.6,94.71,"25,000"
11/9/2018,94.5,96.95,94.05,96.01,"242,500"
11/12/2018,97.8,97.8,94.99,95.4,"61,500"
11/13/2018,95.95,95.95,93.75,93.99,"133,000"
11/14/2018,93.99,96,92.7,94.38,"3,383,500"
11/15/2018,95.95,95.95,89.67,93.21,"23,500"
11/16/2018,94.85,94.95,93,94.21,"1,371,000"
11/19/2018,94.5,94.99,94.5,94.5,"147,000"
11/20/2018,94.5,95.35,94.5,95.04,"316,500"
11/22/2018,94.98,95,93.97,94,"182,000"
11/23/2018,94,94,93.01,93.13,"12,000"
11/26/2018,93.9,93.9,92,92,"61,000"
11/27/2018,93,93.85,92.6,92.74,"139,000"
11/28/2018,93.05,94,93,93.01,"132,500"
11/29/2018,93,94,93,93.71,"64,500"
11/30/2018,93.11,98.39,93,96.29,"1,753,500"
12/3/2018,99.95,99.99,93.6,98.25,"732,000"
12/4/2018,100.95,100.95,98.35,99.22,"201,500"
12/5/2018,101.2,101.2,95.46,99.6,"53,500"
12/6/2018,97.25,98.76,94.65,95.85,"539,500"
12/7/2018,95.85,98,93,95.42,"885,000"
12/10/2018,96,97.5,91.2,95.09,"843,500"
12/11/2018,94,95.09,91.51,93.96,"163,500"
12/12/2018,92,93,89.27,90.17,"679,000"
12/13/2018,90,91.9,86.62,89.72,"291,500"
12/14/2018,89,92,86.5,90.17,"196,500"
12/17/2018,91,91,87.06,89.17,"33,000"
12/18/2018,89,89.75,87.51,88.36,"144,500"
12/19/2018,88.22,88.99,84,85.16,"162,000"
12/20/2018,86.49,86.49,83.32,84.77,"1,198,500"
12/21/2018,84,88.5,83.25,85.54,"325,500"
12/24/2018,89,89,85,86.06,"4,874,000"
12/26/2018,88.98,87.95,81.8,83.64,"2,266,000"
12/27/2018,84,87.82,84,87.59,"2,936,500"
12/28/2018,86.8,91.96,85.5,90.48,"4,116,500"
12/31/2018,88.01,94,87.01,92.39,"3,077,500"
1/1/2019,92.5,92.5,88.6,88.81,"461,500"
1/2/2019,88,90.99,87.51,88.82,"275,000"
1/3/2019,89,90,87.75,89.71,"89,500"
1/4/2019,88.51,89,87.9,88.52,"199,000"
1/7/2019,90,92.49,88.15,88.92,"242,500"
1/8/2019,88.25,90,88.2,89.47,"72,500"
1/9/2019,89.5,90,89,90,"70,000"
1/10/2019,88.98,90,88.98,89.89,"35,500"
1/11/2019,89.5,90.99,88.5,88.7,"269,000"
1/14/2019,89.3,89.85,88.95,89.01,"105,500"
1/15/2019,89.79,90,89,89.03,"239,500"
1/16/2019,89,89,88.5,88.5,"4,000"
1/17/2019,88.5,89,88,88.83,"755,500"
1/18/2019,88.85,89.05,88,88.03,"120,500"
1/21/2019,88.1,88.95,88.1,88.23,"192,000"
1/22/2019,88,88.5,88,88.49,"143,500"
1/23/2019,89.49,90,88.75,89,"244,500"
1/24/2019,93,93,89.5,89.8,"532,500"
1/25/2019,89.99,90,89.25,89.25,"34,500"
1/28/2019,89.3,89.5,89.3,89.49,"68,500"
1/29/2019,89.25,91,88.9,90.17,"83,000"
1/30/2019,91.9,92.9,90,90,"25,000"
1/31/2019,86.5,91,86.5,88.79,"544,500"
2/1/2019,90.49,92,89.5,91.42,"725,000"
2/4/2019,91.99,95.99,91.99,95.66,"1,963,500"
2/6/2019,95.66,97.1,95,95,"277,500"
2/7/2019,94,96.5,94,95.71,"310,000"
2/8/2019,95.5,96,93.51,94.45,"797,000"
2/11/2019,93.99,93.99,91.77,92.07,"255,500"
2/12/2019,90.8,94,90.8,93.92,"65,000"
2/13/2019,94.45,94.5,93.25,94,"142,500"
2/14/2019,93.21,94,93.2,93.94,"21,000"
2/15/2019,94.3,94.3,93.8,93.98,"36,500"
2/18/2019,93.5,94,93.4,93.93,"110,000"
2/19/2019,94,94,92.99,92.99,"340,000"
2/20/2019,96,96,91.42,91.98,"419,500"
2/21/2019,95,95,91,92.99,"4,461,000"
2/22/2019,92.11,94.99,92.1,94.45,"371,000"
2/25/2019,94.89,95,93.55,93.58,"9,500"
2/26/2019,92.01,94,90.51,92.41,"243,500"
2/27/2019,89.25,94,89.25,93.98,"345,500"
2/28/2019,95.49,97,93.25,96.08,"185,000"
3/1/2019,98.4,100.88,98,99.01,"2,152,000"
3/4/2019,99.95,102.79,99,101.04,"1,432,000"
3/5/2019,101,102,100.1,100.42,"174,000"
3/6/2019,101.75,101.75,98.76,99.72,"110,000"
3/7/2019,100.17,102,99,100.94,"38,000"
3/8/2019,100.01,105.98,98.1,101.58,"274,000"
3/11/2019,101.49,104.99,100,103.59,"271,000"
3/12/2019,101.99,103,98.42,98.42,"999,500"
3/13/2019,94.1,98.45,94.1,96.11,"2,327,000"
3/14/2019,96.01,96.9,95.5,96.47,"89,000"
3/15/2019,95.02,98.74,94,95.72,"243,000"
3/18/2019,95.72,97.4,94.99,96.15,"714,000"
3/19/2019,94.17,95.83,94.17,95.09,"196,000"
3/20/2019,94.12,95.5,94.12,95.38,"211,500"
3/21/2019,95.28,95.99,94.5,95.48,"1,485,000"
3/22/2019,95.5,98.85,94,96.14,"166,000"
3/25/2019,95.6,95.96,95.5,95.79,"28,500"
3/26/2019,95.89,95.89,94.5,95.4,"345,000"
3/27/2019,96.9,97.9,94.65,97.24,"637,000"
3/28/2019,96.11,99.83,96,98.97,"310,500"
3/29/2019,97.73,100.74,96.01,99.05,"691,000"
4/1/2019,99.2,99.2,98.49,98.5,"56,500"
4/2/2019,98,98,97.55,97.8,"61,500"
4/3/2019,98.52,98.52,96.51,97.47,"26,500"
4/4/2019,97.25,101,95,98.64,"161,500"
4/5/2019,96.05,98,96.04,97.99,"43,000"
4/8/2019,95.66,97.5,94.5,95.57,"366,000"
4/9/2019,95,96.95,94.9,96.52,"400,500"
4/10/2019,96.99,97,95,95.61,"232,000"
4/11/2019,95.6,95.6,93.51,94.97,"293,500"
4/12/2019,94.25,96.9,94,96.14,"164,500"
4/15/2019,96.89,97.39,95.55,95.92,"241,000"
4/16/2019,96,97,95.16,95.95,"47,500"
