Date,Open,High,Low,Close,Volume
12-Jul-18,276,276,266,269.01,"54,000"
13-Jul-18,270.73,282.46,270.73,282.46,"293,900"
16-Jul-18,286,290,274,277.22,"290,400"
17-Jul-18,275.9,287,273.31,281.46,"98,400"
18-Jul-18,284.85,293,284.85,290.28,"115,700"
19-Jul-18,293,297.9,292,294.01,"204,800"
20-Jul-18,289.01,292.9,286.01,287.48,"24,500"
23-Jul-18,287.6,287.6,282,284.23,"30,500"
24-Jul-18,285,297,285,294.96,"70,600"
26-Jul-18,305.5,305.98,289,295.43,"106,700"
27-Jul-18,297.9,300,290,293.66,"266,900"
30-Jul-18,295,302.1,293.7,296.13,"458,500"
31-Jul-18,296.98,296.98,282.5,283.83,"176,600"
1-Aug-18,284,285.89,276.01,278.53,"211,200"
2-Aug-18,279.9,289.5,272.6,281.4,"437,900"
3-Aug-18,280,286.5,278,282.85,"218,400"
6-Aug-18,283,292.98,282,289.25,"303,400"
7-Aug-18,292.5,301.4,287,296,"518,100"
8-Aug-18,297.01,302.25,292.25,293.07,"319,900"
9-Aug-18,293.99,295.05,290,291.95,"104,700"
10-Aug-18,293,297,290,290.49,"117,000"
13-Aug-18,294,296.75,287,287.91,"113,200"
15-Aug-18,289.99,291,282.75,283.74,"64,400"
16-Aug-18,283.8,283.8,275,281.01,"117,600"
17-Aug-18,282.99,288.5,282.99,285.45,"85,900"
20-Aug-18,286.9,286.9,283,283.13,"109,700"
24-Aug-18,284,286.9,283.5,285.82,"39,800"
27-Aug-18,286.55,291,286.01,286.53,"48,800"
28-Aug-18,286.12,290,285,285.72,"90,000"
29-Aug-18,286.58,287.69,282,282.67,"173,700"
30-Aug-18,282.1,285.4,281,282.34,"47,200"
31-Aug-18,282.5,284,282,282.88,"51,100"
3-Sep-18,280.15,280.15,275,277.69,"29,800"
4-Sep-18,276,291.57,276,291.37,"501,500"
5-Sep-18,293.99,296,282,284.12,"215,100"
6-Sep-18,285,286.9,275.01,276.72,"125,600"
7-Sep-18,277,279.5,273,277.59,"62,000"
10-Sep-18,279,291.46,276.11,291.46,"233,300"
11-Sep-18,294,294.99,278.2,280.35,"234,100"
12-Sep-18,280.35,282,275.01,276.08,"79,800"
13-Sep-18,276.5,283,275.5,277.14,"83,700"
14-Sep-18,278.5,283.5,276,277.88,"102,800"
17-Sep-18,277.25,278,263.99,263.99,"75,800"
18-Sep-18,263.03,277.18,250.8,277.18,"711,800"
19-Sep-18,291,291.03,286.99,291.03,"511,500"
24-Sep-18,289,289.99,276.48,276.48,"222,200"
25-Sep-18,274,276.98,268,270.72,"57,500"
26-Sep-18,271.8,271.8,260.01,262.25,"52,900"
27-Sep-18,264.9,267.98,260.2,266.23,"38,600"
28-Sep-18,266.23,266.3,252.92,254.71,"80,200"
1-Oct-18,253,254.49,250,252.89,"49,200"
2-Oct-18,252.8,262,252.2,254.54,"61,200"
3-Oct-18,252.02,256.9,245,247.35,"52,100"
4-Oct-18,246.5,246.5,234.99,234.99,"135,900"
5-Oct-18,232.01,232.01,223.25,223.25,"78,000"
8-Oct-18,220,221.5,212.09,212.09,"38,700"
9-Oct-18,207.25,217.8,201.49,201.49,"292,800"
10-Oct-18,197.2,197.2,191.42,194.79,"251,600"
11-Oct-18,194,203.75,187,190.71,"329,000"
12-Oct-18,191.5,191.5,181.18,181.18,"172,300"
15-Oct-18,180,180,172.13,173.8,"207,100"
16-Oct-18,174.31,179.98,167.15,169.5,"100,200"
17-Oct-18,170.01,177.97,170.01,177.97,"116,200"
18-Oct-18,186.86,186.86,186.86,186.86,"56,700"
19-Oct-18,196.2,196.2,196.2,196.2,"46,700"
22-Oct-18,206.01,206.01,206.01,206.01,"34,000"
23-Oct-18,209,209,195.71,196.39,"605,900"
24-Oct-18,206.2,206.2,203.5,206.2,"515,400"
25-Oct-18,210.16,215,206.1,211.35,"393,100"
26-Oct-18,210,216,206,214.86,"196,900"
29-Oct-18,214.8,225.6,214.6,225.6,"708,000"
30-Oct-18,227,230,220,224.3,"432,500"
31-Oct-18,223.15,235.51,221.5,235.51,"581,000"
1-Nov-18,241,247.28,240,247.28,"174,300"
2-Nov-18,259.64,259.64,252.52,259.64,"145,600"
5-Nov-18,266.86,272.62,253,272.62,"894,600"
6-Nov-18,283,284,267,275.05,"1,277,900"
7-Nov-18,281,285,275,278,"313,000"
8-Nov-18,278,278,264.1,265.79,"193,800"
9-Nov-18,260,267.5,257.1,260.83,"185,300"
12-Nov-18,258.2,267.24,247.79,247.79,"326,100"
13-Nov-18,244,245.01,235.41,237.5,"520,700"
14-Nov-18,230.5,240.9,225.63,230.48,"546,500"
15-Nov-18,233,242,233,242,"425,900"
16-Nov-18,248,253,239.12,241.59,"519,900"
19-Nov-18,243.1,243.25,231.51,233.13,"224,000"
20-Nov-18,234.49,236,229,231.13,"215,000"
22-Nov-18,230,230.45,224,225.75,"258,600"
23-Nov-18,226.55,227,223,224.19,"93,900"
26-Nov-18,224.49,235.39,224,225.35,"520,500"
27-Nov-18,226.98,228,223.5,224.4,"138,700"
28-Nov-18,230.1,230.99,224,224.07,"482,500"
29-Nov-18,224.5,225,216,217.87,"198,000"
30-Nov-18,218.9,218.9,206.98,206.98,"358,100"
3-Dec-18,200,200,196.64,196.64,"37,200"
4-Dec-18,187,198.5,186.81,194.83,"882,100"
5-Dec-18,195.75,197,187,193.53,"167,500"
6-Dec-18,195.75,196,183.86,184.69,"143,900"
7-Dec-18,184.05,193.92,181,192.1,"396,300"
10-Dec-18,190,199,190,195.16,"209,800"
11-Dec-18,195,195,189.51,190.37,"77,700"
12-Dec-18,190.03,191,181.5,182.51,"83,700"
13-Dec-18,180,187,176.5,177.82,"245,700"
14-Dec-18,179.5,186,177.51,182.7,"411,100"
17-Dec-18,182.71,184.4,180,180.55,"98,000"
18-Dec-18,181.89,182.95,178,179.49,"47,600"
19-Dec-18,177.02,181.5,177.02,179.5,"26,600"
20-Dec-18,180.15,185,180,182.97,"110,800"
21-Dec-18,182,185,178,181.72,"61,900"
24-Dec-18,183.8,183.96,179.01,181.66,"27,400"
26-Dec-18,181.1,189,181.1,184.25,"78,600"
27-Dec-18,184,185.5,178,178.73,"58,600"
28-Dec-18,179,179.5,169.81,171.57,"79,900"
31-Dec-18,170,179,167.75,176.54,"97,800"
1-Jan-19,175,184.4,175,183.08,"87,100"
2-Jan-19,182,184,178.2,178.66,"96,800"
3-Jan-19,180,180,176.5,176.97,"18,100"
4-Jan-19,177.98,180.49,175.1,176.68,"40,200"
